i,x,y,theta
0,6,2.5,0
1,5.99999999025273,2.50000008661123,3.88790645549621E-10
2,6.00025414278484,2.50000008190167,1.40038200115489E-07
3,6.00101248348654,2.50000015830395,5.09475857940897E-07
4,6.0022743098511,2.50000020691526,1.03477346623597E-06
5,6.00403463202637,2.50000023600321,1.66604016864016E-06
6,6.00628899889926,2.5000002540615,2.37103331326501E-06
7,6.00903385418692,2.50000026744651,3.12830396349912E-06
8,6.01226651124602,2.50000028043206,3.92309880472145E-06
9,6.01598500747338,2.50000029581383,4.74497387652383E-06
10,6.02018794075027,2.50000031547437,5.58638336436286E-06
11,6.02487432502874,2.50000034077991,6.44180895302044E-06
12,6.03004347489602,2.50000037282502,7.30719241183663E-06
13,6.03569491813444,2.50000041257079,8.17954570668696E-06
14,6.04134674631382,2.50000045666798,8.79201555676398E-06
15,6.04699871309723,2.5000005038605,9.22499666875624E-06
16,6.05265061576941,2.50000055235601,9.52274217602781E-06
17,6.05830262658232,2.50000060041773,9.73313332018906E-06
18,6.06395448939715,2.50000064794804,9.87327237332038E-06
19,6.06960648102667,2.50000069462374,9.97155719413664E-06
20,6.07525829703187,2.50000074291523,1.00323161764369E-05
21,6.08091025867967,2.50000079221412,1.00739135277711E-05
22,6.08656204626249,2.50000084395884,1.00935610024462E-05
23,6.09173271896033,2.50000089192671,9.84404565691141E-06
24,6.09690321070269,2.50000094037181,9.66164173559282E-06
25,6.10207346472938,2.50000098945725,1.07609405629552E-05
26,6.1072438385794,2.50000103780596,1.07292022743052E-05
27,6.11241406751506,2.50000108656127,1.07140157549816E-05
28,6.11758444691164,2.50000113450827,1.07219068822348E-05
29,6.12275469611959,2.50000118280264,1.07346901449463E-05
30,6.12792509257923,2.50000123027455,1.07627843446854E-05
31,6.13309535748763,2.50000127809773,1.07898488180542E-05
32,6.13826576358054,2.5000013251173,1.08283842237513E-05
33,6.14343603600596,2.500001372511,1.08629765479199E-05
34,6.14860644608231,2.50000141912545,1.09071899078767E-05
35,6.15377672169654,2.50000146613445,1.0946050606904E-05
36,6.1589471334335,2.50000151238205,1.09936515306609E-05
37,6.16411741068541,2.50000155903679,1.10352257616444E-05
38,6.16880654821835,2.5000016007218,1.08168299698013E-05
39,6.17349552346774,2.50000164145074,1.06727491191203E-05
40,6.1781842827275,2.50000168173551,1.05751415458202E-05
41,6.18287315094181,2.50000172058924,1.05234184016502E-05
42,6.18756188333521,2.50000175930291,1.04920526614221E-05
43,6.19225075804192,2.50000179693751,1.04878522956413E-05
44,6.19693950724931,2.50000183467748,1.04904931320552E-05
45,6.20162839868252,2.50000187153823,1.05106376253812E-05
46,6.2063171611699,2.50000190864335,1.05307524665861E-05
47,6.21100606189805,2.50000194497241,1.05635058333569E-05
48,6.2156948304682,2.50000198161609,1.05928146630493E-05
49,6.22038373499766,2.50000201753463,1.06323554192933E-05
50,6.22507250595467,2.50000205380093,1.06667809823888E-05
51,6.2297614120629,2.50000208936601,1.07102589147887E-05
52,6.23445018421052,2.50000212529342,1.07478156719078E-05
53,6.23865781591908,2.50000215696812,1.05250252131529E-05
54,6.24286528551114,2.50000218776611,1.03765789243114E-05
55,6.24707253940895,2.50000221816828,1.0274626155079E-05
56,6.25127990202263,2.50000224727434,1.02186047149117E-05
57,6.25548712895177,2.50000227625098,1.01829353957481E-05
58,6.25969449803205,2.50000230424993,1.01744491482463E-05
59,6.26390174167935,2.50000233233834,1.01727837562647E-05
60,6.2681091274434,2.50000235962915,1.01886209955577E-05
61,6.27231638428976,2.50000238713412,1.02044005645669E-05
62,6.27652377929978,2.50000241393458,1.02328070029008E-05
63,6.28073104215759,2.50000244101243,1.02577365720995E-05
64,6.28493844091622,2.50000246743191,1.02928801671925E-05
65,6.28914570609476,2.50000249415866,1.03228732164785E-05
66,6.29335310637669,2.50000252024886,1.03618965999634E-05
67,6.29756037268209,2.50000254665954,1.03949608762539E-05
68,6.30176777394313,2.50000257244323,1.04364775946471E-05
69,6.3059750412082,2.50000259855264,1.04716531516443E-05
70,6.30970116795218,2.50000262117848,1.02454690947796E-05
71,6.31342713253756,2.5000026430116,1.00933853018046E-05
72,6.31715288147192,2.50000266450023,9.98764516134176E-06
73,6.3208787391422,2.50000268483042,9.92771667320148E-06
74,6.32460446114974,2.500002705044,9.88804863684217E-06
75,6.32833032530864,2.50000272438322,9.87549574051189E-06
76,6.33205606403497,2.50000274379771,9.86970221118137E-06
77,6.33578194486325,2.50000276249771,9.88136692316603E-06
78,6.33950769676088,2.5000027813831,9.89292754952258E-06
79,6.34323358679908,2.50000279963676,9.91708175109508E-06
80,6.34695934466508,2.50000281813179,9.93771950571045E-06
81,6.35068523840477,2.50000283603631,9.96854293510006E-06
82,6.35441099854078,2.50000285420874,9.99417863139028E-06
83,6.35813689375102,2.50000287181025,1.00288179744387E-05
84,6.36186265495916,2.50000288969144,1.00574610663334E-05
85,6.3655885510926,2.50000290701042,1.00945298062959E-05
86,6.36931431320324,2.50000292461381,1.01252190734882E-05
87,6.37304021028217,2.50000294165832,1.01640532440964E-05
88,6.37676597340173,2.50000295898874,1.01963351428214E-05
89,6.38001059600594,2.50000297365027,9.96620715659306E-06
90,6.38325505644959,2.50000298760226,9.81003278279005E-06
91,6.38649930125965,2.5000030012613,9.70012832487354E-06
