i,x,y,theta
0,6,2.5,0
1,5.99999999025273,2.50000008661123,3.88790645549621E-10
2,6.00010166083085,2.5000000819002,5.65274480073819E-08
3,6.00040498020196,2.50000015815731,1.92883561061958E-07
4,6.00090968252988,2.50000020621135,3.67143393045921E-07
5,6.00161377482362,2.50000023385127,5.61264895345157E-07
6,6.00251547786348,2.50000024895355,7.67209493549684E-07
7,6.00361337030262,2.50000025717366,9.80882102366035E-07
8,6.0049063785977,2.50000026203626,1.19993581786361E-06
9,6.00639371867185,2.50000026556138,1.42290011072359E-06
10,6.00807483047412,2.50000026884274,1.6488004186593E-06
11,6.0099493202255,2.50000027245266,1.87697342145787E-06
12,6.01201691426642,2.5000002766916,2.10696454808556E-06
13,6.01427742410392,2.5000002817293,2.33846348628885E-06
14,6.01673072080973,2.50000028767904,2.57126008213237E-06
15,6.01937671709529,2.50000029437782,2.80521648862143E-06
16,6.0222153577806,2.50000030026255,3.04025756558179E-06
17,6.02524660359001,2.50000030501466,3.27614297570796E-06
18,6.02847042958231,2.50000030813668,3.51247216230497E-06
19,6.03188681498468,2.50000031135041,3.74885418809028E-06
20,6.03530328404009,2.50000031556842,3.87910141540617E-06
21,6.0387198508033,2.50000032142875,3.95670808294794E-06
22,6.04213633548098,2.50000032939534,4.00365701908412E-06
23,6.04555286767207,2.50000033891994,4.03565996230204E-06
24,6.04896930826784,2.50000035003748,4.05662955086297E-06
25,6.05238579952675,2.50000036204088,4.07398758929547E-06
26,6.05580221123887,2.50000037497281,4.08632564402601E-06
27,6.05921868162198,2.50000038823727,4.09882822870134E-06
28,6.06263508135172,2.50000040200302,4.10823750599611E-06
29,6.06605154401924,2.50000041580075,4.11911082976268E-06
30,6.06946794025357,2.50000042989746,4.12749951146249E-06
31,6.07269190826501,2.50000044311409,4.03248778654712E-06
32,6.07591580237807,2.50000045619533,3.98879365263673E-06
33,6.07913959608596,2.50000046926137,3.96746974265948E-06
34,6.08236344413194,2.5000004820539,3.96116223579196E-06
35,6.08558722873179,2.50000049495197,3.959655261434E-06
36,6.08881108212313,2.50000050766437,3.96423340643458E-06
37,6.09203487624669,2.50000052053432,3.96874816769295E-06
38,6.09525873862852,2.50000053325102,3.97665497671686E-06
39,6.09848253988848,2.50000054614567,3.98297638443668E-06
40,6.10170640729438,2.50000055889839,4.69196430451326E-06
41,6.10493021223211,2.50000057183639,4.7171990130968E-06
42,6.10815408252275,2.50000058463382,4.74368207054053E-06
43,6.11137788950147,2.50000059761543,4.76783672715867E-06
44,6.11460176101155,2.5000006104535,4.79389418733821E-06
45,6.11782556879857,2.50000062347275,4.81791186886941E-06
46,6.12085694785428,2.50000063558178,4.7375048015901E-06
47,6.12388825360411,2.50000064753168,4.70831239792437E-06
48,6.12691945966609,2.50000065945117,4.70152042185121E-06
49,6.12995071975561,2.50000067110196,4.70954542425883E-06
50,6.132981916692,2.50000068284343,4.72256475816998E-06
51,6.13601318220241,2.50000069440133,4.74155062799277E-06
52,6.13904438861772,2.5000007060984,4.76073577180283E-06
53,6.14207566318351,2.50000071764082,4.78321881579944E-06
54,6.14510687675359,2.50000072933988,4.80441033928761E-06
55,6.14813815643301,2.50000074089329,4.8280646237855E-06
56,6.1511693734409,2.50000075260894,4.84996913081538E-06
57,6.1542006553488,2.50000076418127,4.87408324262399E-06
58,6.15723187378577,2.50000077591722,4.89631465435392E-06
59,6.16026315663006,2.50000078751008,4.92068312239564E-06
60,6.1632943757195,2.50000079926653,4.94313465632662E-06
61,6.1661331660451,2.50000081014664,4.86112787389043E-06
62,6.16897188307481,2.50000082087091,4.83037251891343E-06
63,6.17181050042092,2.50000083156206,4.82203934584283E-06
64,6.17464917178428,2.50000084199603,4.82853816954926E-06
65,6.17748777999913,2.5000008525097,4.84003723195069E-06
66,6.18032645678317,2.50000086284622,4.85750900206972E-06
67,6.18316507447612,2.50000087330782,4.87518096398377E-06
68,6.18600376031733,2.50000088361934,4.89615389967298E-06
69,6.18884238516604,2.50000089407239,4.91583470232155E-06
70,6.19168107612313,2.50000090438378,4.93798023617399E-06
71,6.19451970441122,2.500000914842,4.95837488143146E-06
72,6.19735839759899,2.50000092516076,4.98098066258009E-06
73,6.20019702731787,2.50000093562767,5.00170241255387E-06
74,6.20303572144405,2.50000094595536,5.02456252391786E-06
75,6.20587435181709,2.50000095643119,5.0455042143417E-06
76,6.20871304644532,2.50000096676746,5.06856502002144E-06
77,6.2115516772461,2.50000097725149,5.0897015034691E-06
78,6.21419787924782,2.50000098689907,5.00624530323881E-06
79,6.21684400794147,2.50000099639486,4.97403761432902E-06
80,6.2194900369538,2.50000100585538,4.96425322409111E-06
81,6.2221361199884,2.5000010150707,4.96930223239677E-06
82,6.22478213988125,2.5000010243552,4.97935216729071E-06
83,6.22742822834856,2.50000103346935,4.99537675802852E-06
84,6.23007425773,2.50000104269492,5.01160219643096E-06
85,6.23272035526321,2.5000010517754,5.0311305431053E-06
86,6.23536639180751,2.50000106098271,5.0493674608971E-06
87,6.23801249446252,2.50000107005277,5.07007098520102E-06
88,6.24065853445122,2.50000107925467,5.08902433554187E-06
89,6.24330463934139,2.50000108832141,5.11019063727549E-06
90,6.24595068076494,2.50000109752127,5.1294735794235E-06
91,6.24859678659734,2.5000011065862,5.15089662934784E-06
