i,x,y,theta
0,6,2.5,0
1,5.99999999025273,2.50000008661123,3.88790645549621E-10
2,6.00025414280666,2.50000008190167,1.400876787812E-07
3,6.00101250345907,2.50000015830448,5.54780619780281E-07
4,6.00227440184949,2.50000020699616,1.24275600804144E-06
5,6.00403486813748,2.50000023645587,2.19719655815902E-06
6,6.00628946369261,2.50000025561954,3.41105616234226E-06
7,6.00903464029597,2.50000027156864,4.877592792719E-06
8,6.0122677167397,2.50000028961017,6.59052359110221E-06
9,6.01598673423029,2.50000031389145,8.5440281959146E-06
10,6.02019029340002,2.5000003479677,1.07326957849416E-05
11,6.02487741022688,2.50000039519742,1.31514581817333E-05
12,6.03004740080712,2.50000045898306,1.57955268874951E-05
13,6.03569979405378,2.5000005429039,1.86603403043569E-05
14,6.04183426773537,2.50000065078255,2.17415221260533E-05
15,6.0484506084593,2.50000078587087,2.50349154309103E-05
16,6.05554867132658,2.50000095124454,2.85364594918723E-05
17,6.06312836240798,2.50000115173342,3.22422964875511E-05
18,6.07118961463312,2.50000139197397,3.61485056592615E-05
19,6.07973238056505,2.50000167867035,4.02511734098517E-05
20,6.08875663035165,2.50000201851223,4.4546339509299E-05
21,6.09826234615555,2.50000241781794,4.90301741802742E-05
22,6.10824951860845,2.50000288282359,5.36990261370498E-05
23,6.1187181429004,2.50000341967879,5.8549460550661E-05
24,6.12966821681453,2.50000403459369,6.35781853751783E-05
25,6.14109973881703,2.50000473394907,6.87820600077646E-05
26,6.15301270816725,2.50000552435903,7.41579865505055E-05
27,6.16540712453855,2.50000641269687,7.97028943224399E-05
28,6.17828298775188,2.50000740609725,8.54137427093665E-05
29,6.1916402976567,2.50000851194606,9.12875258803367E-05
30,6.20535957522919,2.50000972641483,9.6513544375814E-05
31,6.21919914065116,2.50001102129202,0.000100287729021
32,6.23296228513152,2.50001236814784,0.000102729493083
33,6.24653836835096,2.50001373885583,0.000104067498933
34,6.25987639608356,2.50001511183064,0.000104524042232
35,6.27295667064731,2.50001647136946,0.000104291582173
36,6.28577375944417,2.50001780624057,0.000103529334112
37,6.29832834040564,2.50001910855135,0.000102365546784
38,6.31062371876105,2.50002037292229,0.000100901887505
39,6.32266437086346,2.50002159586853,9.9218201152819E-05
40,6.33445528937726,2.50002277532428,9.73768163374782E-05
41,6.34600165321088,2.50002391027604,9.54261628719987E-05
42,6.35730865077503,2.50002500048218,9.34037155826515E-05
43,6.36838138886664,2.50002604626097,9.13383552296006E-05
44,6.37922485222848,2.50002704833151,8.92522459684314E-05
45,6.38984389165415,2.50002800769492,8.71623186636968E-05
46,6.40024322632928,2.50002892554561,8.50814363076774E-05
47,6.41042745186413,2.50002980320513,8.30193054906941E-05
48,6.42040104949657,2.50003064207298,8.09831867916273E-05
49,6.430168394448,2.50003144359008,7.89784471393258E-05
50,6.43973376278907,2.50003220921181,7.7008988688223E-05
51,6.4491013368275,2.50003294038826,7.50775815830034E-05
52,6.45827520927937,2.50003363855001,7.3186122101504E-05
53,6.4672593865342,2.50003430509789,7.13358329336872E-05
54,6.47605779128683,2.50003494139596,6.95274186102152E-05
55,6.48467426474701,2.50003554876673,6.77611861626215E-05
56,6.49311256857649,2.50003612848814,6.60371388179052E-05
57,6.50137638665367,2.50003668179186,6.43550487656206E-05
58,6.50946932672916,2.50003720986256,6.27145136720487E-05
59,6.51739492201062,2.50003771383778,6.11150005630831E-05
60,6.52515663269861,2.50003819480851,5.95558798846025E-05
61,6.53275784748531,2.50003865381993,5.80364519205668E-05
62,6.54020188493622,2.50003909187259,5.65559750318806E-05
63,6.54749199491786,2.5000395099237,5.51136834964746E-05
64,6.55463136019531,2.50003990888857,5.37087838352427E-05
65,6.56162309780633,2.50004028964205,5.23404650316818E-05
66,6.56847026048599,2.50004065302006,5.10078977287136E-05
67,6.57517583784522,2.50004099982098,4.97102518803591E-05
68,6.58174275764427,2.50004133080718,4.84467030672178E-05
69,6.58817388707124,2.50004164670649,4.7216436218264E-05
70,6.59447203400453,2.50004194821365,4.60186479538479E-05
71,6.60063994824875,2.50004223599174,4.48525481460008E-05
72,6.60668032274183,2.50004251067355,4.37173609795209E-05
73,6.61259579473445,2.50004277286294,4.26123256648361E-05
74,6.61838894694346,2.50004302313613,4.15366968954103E-05
75,6.62406230868036,2.50004326204288,4.04897451129625E-05
76,6.6296183569561,2.50004349010774,3.94707566268232E-05
77,6.63505951756276,2.50004370783115,3.84790336223168E-05
78,6.64038816613268,2.50004391569055,3.7513894084749E-05
79,6.64560662917572,2.5000441141414,3.65746716596276E-05
80,6.65071718509494,2.50004430361817,3.56607154651402E-05
81,6.65572206518138,2.50004448453533,3.47713898691734E-05
82,6.66062345458811,2.50004465728825,3.39060742404329E-05
83,6.6654234932843,2.50004482225404,3.30641626811393E-05
84,6.67012427698944,2.50004497979241,3.22450637470842E-05
85,6.67472785808833,2.50004513024647,3.14482001593588E-05
86,6.67923624652709,2.50004527394345,3.06730085112822E-05
87,6.68365141069068,2.5000454111955,2.99189389732549E-05
88,6.6879752782623,2.50004554230028,2.91854549973662E-05
89,6.69220973706494,2.50004566754174,2.8472033023297E-05
90,6.69635663588563,2.50004578719063,2.77781621868236E-05
91,6.70041778528258,2.50004590150521,2.71033440317477E-05
92,6.70439495837565,2.50004601073174,2.6447092225901E-05
