i,x,y,theta
0,6,2.5,0
1,5.99999999025273,2.50000008661123,3.88790645549621E-10
2,6.00010166086708,2.5000000819002,5.66096431924658E-08
3,6.00040499364655,2.50000015815778,2.23378398364986E-07
4,6.00090974113498,2.50000020623449,4.99606502616623E-07
5,6.0016139176179,2.5000002339692,8.82305917890345E-07
6,6.00251574692965,2.50000024933827,1.3686800930537E-06
7,6.00361380913654,2.50000025815199,1.9560673086845E-06
8,6.00490703142181,2.50000026414521,2.64197428961668E-06
9,6.00639463012428,2.5000002696025,3.42408265595848E-06
10,6.00807604545249,2.50000027593506,4.30023196772053E-06
11,6.0099508837989,2.50000028408439,5.26839566145931E-06
12,6.01201887162049,2.50000029477039,6.32665739691515E-06
13,6.0142798205046,2.50000030863128,7.47319076098688E-06
14,6.01673360157872,2.50000032629653,8.70624303353636E-06
15,6.01938012759394,2.50000034816581,1.00241261325456E-05
16,6.02221934340489,2.50000037328485,1.14252422831231E-05
17,6.02525120983539,2.50000040198765,1.29080270312625E-05
18,6.02847570210684,2.50000043447328,1.44709519425577E-05
19,6.03189279958331,2.50000047320181,1.61124649935026E-05
20,6.03550248858348,2.50000052063889,1.78310090161741E-05
21,6.03930476117924,2.50000057862669,1.96250775218719E-05
22,6.04329961331303,2.50000064845816,2.14932230931736E-05
23,6.04739079034719,2.5000007288641,2.33812756008674E-05
24,6.05148203800179,2.50000081798426,2.52361873648268E-05
25,6.05557327519364,2.50000091564424,2.70564086998308E-05
26,6.05966448653318,2.50000102147934,2.88422493572637E-05
27,6.06375567154934,2.50000113514093,3.05942968586397E-05
28,6.06784683524913,2.50000125632685,3.23132343348469E-05
29,6.0719379836267,2.5000013847848,3.39997595547685E-05
30,6.0760291218512,2.50000152030488,3.56545527581068E-05
31,6.08012025377764,2.50000166270926,3.72782670944228E-05
32,6.08421138203008,2.50000181184265,3.88715286287522E-05
33,6.08830250827384,2.50000196756494,4.04349396491554E-05
34,6.09239363350216,2.50000212974591,4.19690824863045E-05
35,6.09648475827141,2.50000229826186,4.3474522781891E-05
36,6.10057588287156,2.50000247299347,4.49518119463753E-05
37,6.10466700743985,2.50000265382464,4.64014888770681E-05
38,6.10875813203167,2.50000284064181,4.78240811088541E-05
39,6.11284925666209,2.50000303333364,4.92201055711155E-05
40,6.11694038132873,2.50000323179083,5.05900690902871E-05
41,6.12103150602344,2.50000343590606,5.19344687375629E-05
42,6.12512263073753,2.50000364557399,5.32537920873585E-05
43,6.12921375546388,2.50000386069119,5.4548517426957E-05
44,6.13330488019729,2.50000408115616,5.58191139408532E-05
45,6.13739600493428,2.5000043068693,5.70660418825673E-05
46,6.14148712967266,2.50000453773289,5.82897527403055E-05
47,6.14557825441115,2.50000477365103,5.94906893994299E-05
48,6.14966937914902,2.50000501452968,6.06692863027406E-05
49,6.1537605038859,2.50000526027657,6.18259696088358E-05
50,6.1578516286216,2.50000551080117,6.29611573483803E-05
51,6.16194275335606,2.5000057660147,6.40752595781066E-05
52,6.16603387808924,2.50000602583006,6.5168678532361E-05
53,6.17012500282116,2.5000062901618,6.62418087720407E-05
54,6.17421612755182,2.50000655892611,6.72950373308647E-05
55,6.17830725228124,2.50000683204078,6.83287438589693E-05
56,6.18239837700943,2.50000710942516,6.93433007637684E-05
57,6.1864895017364,2.50000739100013,7.03390733481813E-05
58,6.19058062646216,2.5000076766881,7.13164199462089E-05
59,6.19467175118673,2.50000796641293,7.22756920559189E-05
60,6.19876287591011,2.50000826009997,7.32172344699019E-05
61,6.20285400063232,2.50000855767595,7.41413854032133E-05
62,6.20694512535337,2.50000885906903,7.50484766188843E-05
63,6.21103625007328,2.50000916420872,7.59388335510268E-05
64,6.21512737479205,2.5000094730259,7.68127754255907E-05
65,6.21921849950971,2.50000978545272,7.76706153788053E-05
66,6.22330962422625,2.50001010142269,7.85126605733717E-05
67,6.22740074894171,2.50001042087052,7.93392123124205E-05
68,6.23149187365609,2.50001074373222,8.01505661513084E-05
69,6.23558299836941,2.50001106994499,8.09470120072761E-05
70,6.23967412308169,2.50001139944724,8.17288342670035E-05
71,6.24376524779294,2.50001173217854,8.24963118921253E-05
72,6.24785637250317,2.50001206807964,8.32497185227253E-05
73,6.2519474972124,2.50001240709238,8.39893225788584E-05
74,6.25603862192065,2.50001274915976,8.47153873601287E-05
75,6.26012974662792,2.50001309422582,8.54281711433829E-05
76,6.26422087133425,2.50001344223569,8.61279272785178E-05
77,6.26831199603963,2.50001379313555,8.68149042824769E-05
78,6.27240312074409,2.50001414687261,8.74893459314516E-05
79,6.27649424544765,2.50001450339505,8.81514913513098E-05
80,6.28058537015031,2.50001486265209,8.88015751063128E-05
81,6.28467649485208,2.50001522459389,8.94398272861397E-05
82,6.288767619553,2.50001558917156,9.00664735912349E-05
83,6.29285874425306,2.50001595633714,9.06817354165545E-05
84,6.29694986895229,2.50001632604361,9.12858299336878E-05
85,6.30104099365069,2.50001669824483,9.18789701714284E-05
86,6.30513211834829,2.50001707289552,9.2461365094806E-05
87,6.30922324304509,2.5000174499513,9.30332196826043E-05
88,6.3133143677411,2.50001782936862,9.35947350034015E-05
89,6.31740549243635,2.50001821110476,9.41461082901691E-05
90,6.32149661713085,2.50001859511781,9.46875330134379E-05
91,6.3255877418246,2.50001898136666,9.52191989530726E-05
